c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430127.png,0,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430129.png,0,0.6333,0.2883,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430131.png,0,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430133.png,0,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430136.png,0,1.1653,0.3789,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430142.png,0,0.0000,0.0000,1,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430220.png,0,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430222.png,0,0.6333,0.2883,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430223.png,0,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430226.png,0,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430229.png,0,1.1653,0.3789,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430236.png,0,0.0000,0.0000,1,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430254.png,2,0.0000,0.0000,1,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430255.png,9,1.0903,0.4000,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430256.png,9,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430258.png,9,0.1986,0.1016,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430259.png,9,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430261.png,9,0.6819,0.0781,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430266.png,9,0.0000,0.0000,1,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430277.png,2,0.0000,0.0000,1,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430278.png,8,0.0361,0.1750,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430280.png,8,0.0000,0.0000,0,0
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430281.png,8,0.3917,0.1430,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430283.png,8,0.8000,0.2641,0,1
c:\Users\PC\Desktop\AutoRun\training\screenshot_1750430289.png,8,0.0000,0.0000,1,1
